,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0,29,178,4,85,160,293,58,35,8,53,161,10,26,80,6,3,57,14,136,1,8,75,18,0,0,6,35,13,1,0,16,41,1,12,0,0,0,0,40,21,0
1,29,0,29,0,2756,1,172,3292,6,0,1,25,2182,1895,0,0,991,5,899,850,2318,0,0,3,0,0,0,5,134,0,0,480,16,0,99,0,0,0,0,2,0,2
2,178,29,0,0,10,3822,74,20,3676,0,2744,1274,29,33,0,0,11,5,9,3,3,0,1,1808,0,0,7,906,4,1,0,14,219,0,1,201,0,0,0,68,1,2
3,4,0,0,0,0,179,32,10,0,5,0,0,0,0,11,17,0,24,0,2,0,2,0,0,744,1825,747,0,345,5,565,0,3,5,0,0,0,22,0,0,0,0
4,85,2756,10,0,0,1,226,3062,1,0,4,29,2984,1538,0,0,2068,23,1109,1850,2196,0,0,0,0,0,2,0,181,0,0,235,23,1,140,0,0,0,0,0,0,2
5,160,1,3822,179,1,0,10,3,4974,86,4624,2283,0,1,189,86,1,171,2,3,0,87,55,1505,88,188,125,1563,21,33,52,0,270,26,0,527,54,31,3,62,2,0
6,293,172,74,32,226,10,0,80,6,30,8,95,49,8,153,39,41,94,22,132,3,25,0,5,17,27,38,1,54,3,2,72,40,16,13,1,1,3,4,18,1,21
7,58,3292,20,10,3062,3,80,0,0,92,2,8,2171,1927,118,164,1181,285,1305,730,2584,65,135,0,3,1,24,6,220,41,0,858,27,63,75,0,105,1,87,1,6,7
8,35,6,3676,0,1,4974,6,0,0,0,2939,532,1,3,0,0,0,3,0,0,0,0,1,1046,0,0,2,2315,0,0,0,2,4,0,0,112,0,0,0,34,0,0
9,8,0,0,5,0,86,30,92,0,0,0,0,0,0,1,4318,1,2024,0,24,0,1548,0,0,40,4,6,0,99,3,0,0,30,363,0,0,0,135,5,0,0,0
10,53,1,2744,0,4,4624,8,2,2939,0,0,1452,0,0,0,0,2,0,1,2,0,0,9,1125,0,0,0,1138,0,0,0,0,367,0,2,477,0,0,0,47,0,0
11,161,25,1274,0,29,2283,95,8,532,0,1452,0,11,3,5,5,80,12,0,115,0,1,2,245,0,0,2,20,9,4,0,6,241,1,44,808,0,0,0,61,2,0
12,10,2182,29,0,2984,0,49,2171,1,0,0,11,0,1136,0,0,1097,0,297,953,1736,0,0,0,0,0,0,0,37,0,0,425,3,0,141,0,12,0,0,1,0,0
